Time	Value
1390401891569	130.8921754486
1390401891571	130.8921754486
1390401891572	130.8921754486
1390401891574	130.8921754486
1390401891575	130.8921754486
1390401891589	132.4582634917
1390401891591	132.4582634917
1390401891592	132.4582634917
1390401891593	132.4582634917
1390401891594	132.4582634917
1390401891609	128.607466971
1390401891610	128.607466971
1390401891611	128.607466971
1390401891612	128.607466971
1390401891613	128.607466971
1390401891630	114.9529878083
1390401891631	114.9529878083
1390401891632	114.9529878083
1390401891633	114.9529878083
1390401891648	100.5316453795
1390401891649	100.5316453795
1390401891650	100.5316453795
1390401891651	100.5316453795
1390401891668	96.0205034944
1390401891669	96.0205034944
1390401891670	96.0205034944
1390401891671	96.0205034944
1390401891693	100.9124677791
1390401891694	100.9124677791
1390401891695	100.9124677791
1390401891696	100.9124677791
1390401891712	102.5911162547
1390401891713	102.5911162547
1390401891714	102.5911162547
1390401891715	102.5911162547
1390401891733	99.9541510656
1390401891734	99.9541510656
1390401891735	99.9541510656
1390401891736	99.9541510656
1390401891737	99.9541510656
1390401891748	95.3580816253
1390401891749	95.3580816253
1390401891750	95.3580816253
1390401891751	95.3580816253
1390401891771	94.6640888206
1390401891772	94.6640888206
1390401891773	94.6640888206
1390401891774	94.6640888206
1390401891793	92.2660740106
1390401891794	92.2660740106
1390401891795	92.2660740106
1390401891796	92.2660740106
1390401891813	95.8067947249
1390401891814	95.8067947249
1390401891815	95.8067947249
1390401891816	95.8067947249
1390401891833	101.0551057491
1390401891834	101.0551057491
1390401891835	101.0551057491
1390401891836	101.0551057491
1390401891854	111.7871354423
1390401891855	111.7871354423
1390401891856	111.7871354423
1390401891857	111.7871354423
1390401891864	111.7871354423
1390401891869	125.2439291733
1390401891870	125.2439291733
1390401891871	125.2439291733
1390401891872	125.2439291733
1390401891893	136.5359626687
1390401891894	136.5359626687
1390401891895	136.5359626687
1390401891897	136.5359626687
1390401891898	136.5359626687
1390401891900	136.5359626687
1390401891910	136.2653652239
1390401891912	136.2653652239
1390401891913	136.2653652239
1390401891915	136.2653652239
1390401891916	136.2653652239
1390401891933	126.077616665
1390401891934	126.077616665
1390401891936	126.077616665
1390401891938	126.077616665
1390401891939	126.077616665
1390401891941	126.077616665
1390401891951	116.9291017461
1390401891952	116.9291017461
1390401891954	116.9291017461
1390401891955	116.9291017461
1390401891957	116.9291017461
1390401891975	116.9338837727
1390401891976	116.9338837727
1390401891981	116.9338837727
1390401891983	116.9338837727
1390401891986	116.9338837727
1390401891988	116.9338837727
1390401891992	122.8152315631
1390401891994	122.8152315631
1390401891996	122.8152315631
1390401891999	122.8152315631
1390401892001	122.8152315631
1390401892003	122.8152315631
1390401892013	127.519679151
1390401892014	127.519679151
1390401892016	127.519679151
1390401892018	127.519679151
1390401892021	127.519679151
1390401892023	127.519679151
1390401892034	137.2256001527
1390401892035	137.2256001527
1390401892038	137.2256001527
1390401892041	137.2256001527
1390401892043	137.2256001527
1390401892045	137.2256001527
1390401892055	132.342003779
1390401892056	132.342003779
1390401892058	132.342003779
1390401892060	132.342003779
1390401892063	132.342003779
1390401892065	132.342003779
1390401892075	107.5581869571
1390401892076	107.5581869571
1390401892080	107.5581869571
1390401892082	107.5581869571
1390401892088	107.5581869571
1390401892093	73.8226666781
1390401892097	107.5581869571
1390401892099	73.8226666781
1390401892101	73.8226666781
1390401892104	73.8226666781
1390401892106	73.8226666781
1390401892108	73.8226666781
1390401892112	67.697087714
1390401892114	67.697087714
1390401892116	67.697087714
1390401892119	67.697087714
1390401892121	67.697087714
1390401892123	67.697087714
1390401892135	73.841614557
1390401892136	73.841614557
1390401892139	73.841614557
1390401892141	73.841614557
1390401892143	73.841614557
1390401892146	73.841614557
1390401892155	88.4655971895
1390401892156	88.4655971895
1390401892158	88.4655971895
1390401892161	88.4655971895
1390401892163	88.4655971895
1390401892165	88.4655971895
1390401892176	106.7804935402
1390401892179	106.7804935402
1390401892181	106.7804935402
1390401892183	106.7804935402
1390401892185	106.7804935402
1390401892197	118.9381641517
1390401892198	118.9381641517
1390401892200	118.9381641517
1390401892202	118.9381641517
1390401892204	118.9381641517
1390401892207	118.9381641517
1390401892215	121.1122713829
1390401892216	121.1122713829
1390401892219	121.1122713829
1390401892221	121.1122713829
1390401892223	121.1122713829
1390401892226	121.1122713829
1390401892236	109.9943702272
1390401892237	109.9943702272
1390401892240	109.9943702272
1390401892242	109.9943702272
1390401892244	109.9943702272
1390401892246	109.9943702272
1390401892256	102.2287384621
1390401892257	102.2287384621
1390401892259	102.2287384621
1390401892261	102.2287384621
1390401892264	102.2287384621
1390401892266	102.2287384621
1390401892276	104.2213460295
1390401892277	104.2213460295
1390401892281	104.2213460295
1390401892284	104.2213460295
1390401892286	104.2213460295
1390401892293	104.2213460295
1390401892296	109.8149974099
1390401892298	109.8149974099
1390401892301	109.8149974099
1390401892303	109.8149974099
1390401892305	109.8149974099
1390401892308	109.8149974099
1390401892317	122.8371711778
1390401892317	122.8371711778
1390401892320	122.8371711778
1390401892322	122.8371711778
1390401892326	122.8371711778
1390401892328	122.8371711778
1390401892337	132.4911393165
1390401892339	132.4911393165
1390401892341	132.4911393165
1390401892344	132.4911393165
1390401892346	132.4911393165
1390401892348	132.4911393165
1390401892357	137.7405139091
1390401892358	137.7405139091
1390401892360	137.7405139091
1390401892362	137.7405139091
1390401892365	137.7405139091
1390401892367	137.7405139091
1390401892377	134.1892299349
1390401892378	134.1892299349
1390401892380	134.1892299349
1390401892382	134.1892299349
1390401892385	134.1892299349
1390401892387	134.1892299349
1390401892399	129.2760011083
1390401892400	129.2760011083
1390401892402	129.2760011083
1390401892404	129.2760011083
1390401892406	129.2760011083
1390401892409	129.2760011083
1390401892418	110.0215258389
1390401892421	110.0215258389
1390401892423	110.0215258389
1390401892425	110.0215258389
1390401892428	110.0215258389
1390401892438	76.8168336167
1390401892439	76.8168336167
1390401892441	76.8168336167
1390401892444	76.8168336167
1390401892446	76.8168336167
1390401892448	76.8168336167
1390401892459	62.5473085656
1390401892460	62.5473085656
1390401892462	62.5473085656
1390401892465	62.5473085656
1390401892467	62.5473085656
1390401892469	62.5473085656
1390401892478	80.7376351892
1390401892479	80.7376351892
1390401892481	80.7376351892
1390401892483	80.7376351892
1390401892486	80.7376351892
1390401892489	80.7376351892
1390401892498	141.4622079874
1390401892499	141.4622079874
1390401892501	141.4622079874
1390401892503	141.4622079874
1390401892505	141.4622079874
1390401892508	141.4622079874
1390401892518	211.8943887069
1390401892519	211.8943887069
1390401892521	211.8943887069
1390401892523	211.8943887069
1390401892525	211.8943887069
1390401892528	211.8943887069
1390401892539	229.7697693813
1390401892540	229.7697693813
1390401892542	229.7697693813
1390401892544	229.7697693813
1390401892547	229.7697693813
1390401892549	229.7697693813
1390401892560	185.2749328217
1390401892561	185.2749328217
1390401892563	185.2749328217
1390401892565	185.2749328217
1390401892568	185.2749328217
1390401892570	185.2749328217
1390401892579	152.2049032222
1390401892580	152.2049032222
1390401892582	152.2049032222
1390401892584	152.2049032222
1390401892587	152.2049032222
1390401892590	152.2049032222
1390401892599	138.0399642731
1390401892600	138.0399642731
1390401892602	138.0399642731
1390401892604	138.0399642731
1390401892606	138.0399642731
1390401892609	138.0399642731
1390401892618	121.1525391578
